activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,,,True,False,False,False,True,False,True,False,False,False,001,Account,Accounts,True,True,True,Account,True,True,True,True,True,True,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/Account/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/Account/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/Account/describe/approvalLayouts', 'listviews': '/services/data/v59.0/sobjects/Account/listviews', 'describe': '/services/data/v59.0/sobjects/Account/describe', 'quickActions': '/services/data/v59.0/sobjects/Account/quickActions', 'layouts': '/services/data/v59.0/sobjects/Account/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/Account'})"
False,ChangeEvent,Account,False,False,False,False,False,False,False,False,False,False,,Account Change Event,Account Change Event,False,False,False,AccountChangeEvent,False,False,True,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AccountChangeEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/AccountChangeEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/AccountChangeEvent/describe', 'sobject': '/services/data/v59.0/sobjects/AccountChangeEvent'})"
False,,,True,False,False,False,True,False,False,False,False,False,07k,Account Contact Relationship,Account Contact Relationships,True,False,False,AccountContactRelation,True,True,True,False,True,False,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/AccountContactRelation/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/AccountContactRelation/{ID}', 'describe': '/services/data/v59.0/sobjects/AccountContactRelation/describe', 'quickActions': '/services/data/v59.0/sobjects/AccountContactRelation/quickActions', 'layouts': '/services/data/v59.0/sobjects/AccountContactRelation/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/AccountContactRelation'})"
False,ChangeEvent,AccountContactRelation,False,False,False,False,False,False,False,False,False,False,,Account Contact Relationship Change Event,Account Contact Relationship Change Event,False,False,False,AccountContactRelationChangeEvent,False,False,True,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AccountContactRelationChangeEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/AccountContactRelationChangeEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/AccountContactRelationChangeEvent/describe', 'sobject': '/services/data/v59.0/sobjects/AccountContactRelationChangeEvent'})"
False,,,True,False,False,False,True,False,False,False,False,False,02Z,Account Contact Role,Account Contact Roles,False,False,False,AccountContactRole,True,True,True,False,False,False,True,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AccountContactRole/{ID}', 'describe': '/services/data/v59.0/sobjects/AccountContactRole/describe', 'sobject': '/services/data/v59.0/sobjects/AccountContactRole'})"
False,ChangeEvent,AccountContactRole,False,False,False,False,False,False,False,False,False,False,,Account Contact Role Change Event,Account Contact Role Change Event,False,False,False,AccountContactRoleChangeEvent,False,False,True,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AccountContactRoleChangeEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/AccountContactRoleChangeEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/AccountContactRoleChangeEvent/describe', 'sobject': '/services/data/v59.0/sobjects/AccountContactRoleChangeEvent'})"
False,Feed,Account,False,False,False,False,True,False,False,False,False,False,,Account Feed,Account Feed,False,False,False,AccountFeed,True,True,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AccountFeed/{ID}', 'describe': '/services/data/v59.0/sobjects/AccountFeed/describe', 'sobject': '/services/data/v59.0/sobjects/AccountFeed'})"
False,History,Account,False,False,False,False,False,False,False,False,False,False,,Account History,Account History,False,False,False,AccountHistory,True,True,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AccountHistory/{ID}', 'describe': '/services/data/v59.0/sobjects/AccountHistory/describe', 'sobject': '/services/data/v59.0/sobjects/AccountHistory'})"
False,,,True,False,False,False,True,False,False,False,False,False,00I,Account Partner,Account Partner,True,False,False,AccountPartner,True,False,True,False,False,False,False,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/AccountPartner/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/AccountPartner/{ID}', 'describe': '/services/data/v59.0/sobjects/AccountPartner/describe', 'layouts': '/services/data/v59.0/sobjects/AccountPartner/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/AccountPartner'})"
False,Share,Account,True,False,False,False,False,False,False,False,False,False,00r,Account Share,Account Share,False,False,False,AccountShare,True,False,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AccountShare/{ID}', 'describe': '/services/data/v59.0/sobjects/AccountShare/describe', 'sobject': '/services/data/v59.0/sobjects/AccountShare'})"
