aggregatable,aiPredictionField,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,formulaTreatNullNumberAsZero,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Last Referenced Date,0,,,LastReferencedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Account,18,,,PersonContactId,False,False,True,False,[],False,0,False,,['Contact'],PersonContact,,False,False,0,True,tns:ID,True,reference,False,False,False
False,False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Is Account,0,,,IsPersonAccount,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,False,765,False,,False,False,PersonMailingAddress,,True,False,,,False,False,False,0,False,False,False,plaintextarea,True,,False,True,False,False,False,,Mailing Street,255,,,PersonMailingStreet,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,textarea,False,True,False
True,False,False,120,False,,False,False,PersonMailingAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Mailing City,40,,,PersonMailingCity,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,240,False,,False,False,PersonMailingAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Mailing State/Province,80,,,PersonMailingState,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,60,False,,False,False,PersonMailingAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Mailing Zip/Postal Code,20,,,PersonMailingPostalCode,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,240,False,,False,False,PersonMailingAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Mailing Country,80,,,PersonMailingCountry,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,0,False,,False,False,PersonMailingAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Mailing Latitude,0,,,PersonMailingLatitude,False,False,True,True,[],False,18,False,,[],,,False,False,15,False,xsd:double,True,double,False,True,False
True,False,False,0,False,,False,False,PersonMailingAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Mailing Longitude,0,,,PersonMailingLongitude,False,False,True,True,[],False,18,False,,[],,,False,False,15,False,xsd:double,True,double,False,True,False
True,False,False,120,False,,False,False,PersonMailingAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Mailing Geocode Accuracy,40,,,PersonMailingGeocodeAccuracy,False,False,True,True,"[OrderedDict({'active': True, 'defaultValue': False, 'label': 'Address', 'validFor': None, 'value': 'Address'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Near Address', 'validFor': None, 'value': 'NearAddress'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Block', 'validFor': None, 'value': 'Block'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Street', 'validFor': None, 'value': 'Street'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Extended Zip', 'validFor': None, 'value': 'ExtendedZip'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Zip', 'validFor': None, 'value': 'Zip'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Neighborhood', 'validFor': None, 'value': 'Neighborhood'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'City', 'validFor': None, 'value': 'City'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'County', 'validFor': None, 'value': 'County'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'State', 'validFor': None, 'value': 'State'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Unknown', 'validFor': None, 'value': 'Unknown'})]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
False,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Mailing Address,0,,,PersonMailingAddress,False,False,True,True,[],False,0,True,,[],,,False,False,0,False,urn:address,False,address,False,False,False
True,False,False,765,False,,False,False,PersonOtherAddress,,True,False,,,False,False,False,0,False,False,False,plaintextarea,True,,False,True,False,False,False,,Other Street,255,,,PersonOtherStreet,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,textarea,False,True,False
True,False,False,120,False,,False,False,PersonOtherAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Other City,40,,,PersonOtherCity,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,240,False,,False,False,PersonOtherAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Other State/Province,80,,,PersonOtherState,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,60,False,,False,False,PersonOtherAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Other Zip/Postal Code,20,,,PersonOtherPostalCode,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,240,False,,False,False,PersonOtherAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Other Country,80,,,PersonOtherCountry,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,0,False,,False,False,PersonOtherAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Other Latitude,0,,,PersonOtherLatitude,False,False,True,True,[],False,18,False,,[],,,False,False,15,False,xsd:double,True,double,False,True,False
True,False,False,0,False,,False,False,PersonOtherAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Other Longitude,0,,,PersonOtherLongitude,False,False,True,True,[],False,18,False,,[],,,False,False,15,False,xsd:double,True,double,False,True,False
True,False,False,120,False,,False,False,PersonOtherAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Other Geocode Accuracy,40,,,PersonOtherGeocodeAccuracy,False,False,True,True,"[OrderedDict({'active': True, 'defaultValue': False, 'label': 'Address', 'validFor': None, 'value': 'Address'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Near Address', 'validFor': None, 'value': 'NearAddress'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Block', 'validFor': None, 'value': 'Block'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Street', 'validFor': None, 'value': 'Street'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Extended Zip', 'validFor': None, 'value': 'ExtendedZip'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Zip', 'validFor': None, 'value': 'Zip'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Neighborhood', 'validFor': None, 'value': 'Neighborhood'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'City', 'validFor': None, 'value': 'City'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'County', 'validFor': None, 'value': 'County'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'State', 'validFor': None, 'value': 'State'}), OrderedDict({'active': True, 'defaultValue': False, 'label': 'Unknown', 'validFor': None, 'value': 'Unknown'})]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
False,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Other Address,0,,,PersonOtherAddress,False,False,True,True,[],False,0,True,,[],,,False,False,0,False,urn:address,False,address,False,False,False
